transaction_id,final_amount
9af9901b-60a8-4f95-a586-980a725d1049,87.0
6a58d026-823f-4bda-a15c-2c3f090b7a27,78.0
8845cdaa-d230-4453-bbdf-0e4f783045bf,76.5
1b42e037-691b-40e1-9082-04743ef92f7b,75.0
8242b244-a98b-4e65-890f-3b29ba81920c,78.0
22049590-21d6-46ec-90d3-bf087600e40b,75.0
f49b695f-55de-4440-9e55-dad56f3c30a9,75.5
5983bd16-ad40-4278-ad4d-3d64a74a76f3,79.5
bd017fc6-3c6c-4fd3-95c4-a6e52592d644,78.0
6bfe9c5f-de3e-4c5a-b913-500bf30a9bf4,82.5
4bc86557-8e31-4a61-a1a7-b8a517254b5b,81.0
39a65d60-3f0f-42e7-8523-233523d7cf97,75.0
0f2ee218-829f-41f6-b468-f287118d1782,76.5
ba2fddc3-b30b-433b-b1c0-7f97b0b5fa72,78.0
2bac28c8-192d-489f-9da1-b8578ec06c2a,84.0
8850510c-ccaf-460d-bbb1-b93af401b5ad,79.5
222aa367-63db-426d-8246-911097540abd,81.0
b687baad-27ab-41f7-9873-8323d8f759ca,78.0
2a161cca-5973-4f72-b6fd-d25b27d1340b,79.5
03c8b1ae-e559-4e23-a618-3c3adce997b4,76.0
bf8212a4-7c29-4bf0-8cc1-c3087e7233ee,76.5
9301ff75-1e17-4798-852a-706ec01b91bc,76.0
c862edf6-e9d2-4749-98cd-a185a72c3174,79.5
965d81b4-8f29-4182-8ba1-d818f40a98c2,78.0
b6266698-a949-4bc9-b92f-f808744f02b1,75.0
f542bbf8-1367-40f0-889e-981486858ef9,76.0
896852e7-c672-49df-80e8-abc5317a0b20,85.5
ff40e10c-2353-40e6-b52a-cbc65f722dde,76.5
7e46a7da-1fbe-46ad-b672-8634b1fcdb11,76.0
24654188-b0d8-4afc-bc64-36fc5fc998f4,75.0
082b8aa0-347f-45c7-961b-ad32e43de7c6,84.0
3487d800-0929-44f6-86dd-fe69c7a29d8c,78.0
ca1dc1bd-38ed-4db1-9c91-494836dd7f33,75.0
d8a0d29f-5cd1-4520-adac-929fa75f59c8,75.0
c6b40c56-b6c6-44de-b67d-bea4cc23fd79,76.0
e9c00a0d-7963-4cac-a4e3-0bf03e3edd9c,79.5
7ac9c42b-4db9-47c4-ad3c-99aa3b87a36a,82.5
c9689e87-3de4-4688-820d-6243af57603c,76.5
fa57678b-5dc9-42cc-90a2-ce32d61d9f2f,81.0
ecd654ac-3612-4fc5-85f6-82572b1aece9,78.5
e7ca3be4-6920-402b-a08a-4a2f33699512,80.0
5438e5a4-0b6f-489f-b003-5bdf29e6ad9e,77.5
cd06ddfc-7544-49ed-ada3-6eede60d423c,78.0
d8f412f2-a6cc-4eff-8fe4-769f7281e840,75.0
61bb7fd1-72cb-4e33-90c1-b6db9092ef1b,78.0
003f5fbf-826b-4f2d-bbee-5e7f9804057a,77.0
3fb28740-25b5-44d9-9ac7-dc53e9c43697,75.0
86831461-4170-4295-a518-14555c61adb5,79.5
0063e3ff-acc3-4e9f-b9ae-00dbc62c34dc,87.0
75eae186-e631-4ee8-bd00-c0efba0bb8e4,76.5
fd128ef2-1454-4d9d-80e8-bf8a88fc1d7d,76.5
131525ce-9db1-46fc-aeca-b34886d60486,79.5
7a5c36db-f5d7-467c-af39-ccb74d23dc8d,78.0
de463405-a53b-473c-bf56-6606ac8dbc1b,76.5
abccf04e-f84a-49c3-838c-80abf758550b,80.0
cfaf50ed-e1fc-4a0f-956e-a57eea3117c3,79.5
d198aab0-482d-4f12-a439-003c516413a3,81.0
d510cc8d-e038-4f63-a7d0-a3fc61e4b9c7,75.0
b12b3860-b566-45ca-a84a-5107e489a987,78.0
2a12b71f-8e10-457e-b3fd-f241acf3d5de,76.0
9c7c1039-63b3-4469-859f-7cc4cb5cf9ba,78.0
31cbb7f5-c78a-49f4-9e35-52e101a17698,75.0
9164156c-79af-47ab-a47e-b0ca606ed100,79.0
0b9119ae-2620-4f7c-8d20-696705c66865,81.0
328ceb33-dd84-4829-a49a-01e7f571e623,76.5
1708e70e-602c-4300-a4c8-58078088ce4d,75.0
bf07e1b1-35e8-461c-bd6f-c45bdb22e78a,82.5
6e48d8f0-8073-4e6f-be81-912482d44ae6,77.0
2766702e-826d-44ce-8e8f-9cfaaa2d4787,78.0
bb78e719-709a-4455-b5ee-26c8e260ec0c,77.0
