transaction_id,store_id,payment_method_id,voucher_id,user_id,original_amount,discount_applied,final_amount,created_at
ac6f851c-649f-42fb-a606-72be0fdcf8d2,5,1,,,63.5,0.0,63.5,2024-01-01 10:06:50
d7856e66-c613-45c4-b9ca-7a3cec6c6db3,8,2,,,30.5,0.0,30.5,2024-01-01 10:06:52
78015742-1f8b-4f9c-bde2-0e68b822890c,5,4,,,54.0,0.0,54.0,2024-01-01 10:06:53
da1b334f-a51b-421d-88ce-ca547bc1cdbe,1,1,,,48.0,0.0,48.0,2024-01-01 10:06:54
6dc3bc21-e102-4ab4-b93f-10a702ed671f,5,1,,,29.0,0.0,29.0,2024-01-01 10:06:56
d615a21a-b4ac-45d4-aa8b-bd64083b9782,3,2,,,9.0,0.0,9.0,2024-01-01 10:06:57
fb3e56ca-c783-4128-a77f-a14d6e550f20,6,4,,,9.0,0.0,9.0,2024-01-01 10:06:58
fbb475bf-f696-40d3-bd41-eb03b5471e32,6,5,,,6.0,0.0,6.0,2024-01-01 10:06:59
345d8cb0-da26-48b0-8d4d-0a7ebcf55103,10,3,,,48.0,0.0,48.0,2024-01-01 10:07:00
cce13efa-b169-4512-b81e-24730283359a,4,2,,,59.0,0.0,59.0,2024-01-01 10:07:02
55e8edff-0812-4588-9392-45a0d3a8cf60,5,5,,,12.0,0.0,12.0,2024-01-01 10:07:03
dee00800-62a8-47d3-be77-b8cca7a42665,5,4,,17272.0,45.5,0.0,45.5,2024-01-01 10:07:04
a94e4252-4aff-476e-a809-19df610768ee,2,4,,,14.0,0.0,14.0,2024-01-01 10:07:05
d57f241e-2182-46c6-a5f4-78dcdcc7741d,7,1,,,63.0,0.0,63.0,2024-01-01 10:07:06
2400a3c8-21fc-46a6-b194-d00da0e873d4,1,2,,,21.0,0.0,21.0,2024-01-01 10:07:09
05d1b5af-ab0f-46ac-9441-9e01549d2ca6,3,2,,,19.0,0.0,19.0,2024-01-01 10:07:11
d64509aa-7308-4145-ae52-056d3e0488de,6,4,,,46.0,0.0,46.0,2024-01-01 10:07:13
f490970d-3037-4ff6-84b8-86eff83faac3,5,3,,,22.0,0.0,22.0,2024-01-01 10:07:14
ac472e57-eb38-4dcb-8947-bceabff49297,9,3,,,24.0,0.0,24.0,2024-01-01 10:07:16
bb95f837-d7e3-4251-a99a-5f152748fd78,1,5,,,78.0,0.0,78.0,2024-01-01 10:07:17
bd31c08f-3fb4-4d1f-8ef9-e7bd7c224a66,2,3,,,36.0,0.0,36.0,2024-01-01 10:07:18
e6e924dc-bbdb-4cef-b9a1-e94dc76e4f35,7,1,,,18.0,0.0,18.0,2024-01-01 10:07:20
ba0f312d-fd55-42ce-be14-9c418569bf80,3,5,,,34.5,0.0,34.5,2024-01-01 10:07:21
06f8d041-34fa-4417-8e9c-6782959e7dd2,4,2,,,63.0,0.0,63.0,2024-01-01 10:07:23
2915face-1f51-407c-b12e-ccc9f9fa93ca,3,2,,,19.0,0.0,19.0,2024-01-01 10:07:25
5732f5ce-abd2-49f7-8661-e7531329997f,5,5,,,24.0,0.0,24.0,2024-01-01 10:07:26
e686d0bb-1687-44a0-8cda-839a0b0c4d9b,5,4,,,9.0,0.0,9.0,2024-01-01 10:07:27
67764743-9a49-4b0a-afea-a7fb153bbe8a,5,3,,,30.0,0.0,30.0,2024-01-01 10:07:28
09b8aa73-1547-4620-a22e-fc42d183f897,2,5,,,37.0,0.0,37.0,2024-01-01 10:07:30
b4a7c5d4-f803-42da-8b7c-147d7a37b6a7,3,4,,12356.0,30.0,0.0,30.0,2024-01-01 10:07:33
1746a51c-83fe-49fe-a766-d081999fcfc8,6,3,,,42.0,0.0,42.0,2024-01-01 10:07:34
cc23f92a-be85-43e8-8130-0c66a18fac59,6,3,,,21.0,0.0,21.0,2024-01-01 10:07:35
bb2d6ce2-fa7b-4ce9-bb7e-bb5b516f6873,8,3,,1714.0,31.0,0.0,31.0,2024-01-01 10:07:37
49218419-558b-4167-a228-c58c1a21df06,4,3,,,12.0,0.0,12.0,2024-01-01 10:07:38
b6fb2296-22a1-42d6-826e-6afafe1abcf0,1,3,,,27.0,0.0,27.0,2024-01-01 10:07:40
31ca53c0-0266-4cfb-8094-2234a958c57b,1,3,,,33.0,0.0,33.0,2024-01-01 10:07:41
bc3bc0d3-8d56-4f43-b3fe-dde123346ff7,9,1,,,19.0,0.0,19.0,2024-01-01 10:07:42
f8b17842-51ea-489f-9af2-a6812f12ab04,7,4,,,9.0,0.0,9.0,2024-01-01 10:07:43
00fa3552-622f-48c1-92e7-78d91a5442bb,5,2,,,24.0,0.0,24.0,2024-01-01 10:07:44
458ca2c4-b10d-4ae6-855e-9e4c65d36ca2,9,1,,,8.0,0.0,8.0,2024-01-01 10:07:46
9996abf4-3f9c-4605-8838-e370ccf3ac9c,10,5,,,18.0,0.0,18.0,2024-01-01 10:07:48
ca30b007-84d4-4769-a710-033c28fc49be,6,4,,5001.0,47.5,0.0,47.5,2024-01-01 10:07:49
4172809c-af80-4d6f-874c-a5d87af1f2fb,10,2,,,37.0,0.0,37.0,2024-01-01 10:07:50
f7f4ed3e-f9fc-4485-a8f8-ec1d803690e5,10,2,,,14.0,0.0,14.0,2024-01-01 10:07:52
e7898fc7-2cb3-4ed5-855f-3ffcaa3aa24a,1,5,,,36.0,0.0,36.0,2024-01-01 10:07:53
ce262ede-b28f-4d53-b73e-f72e8adca8da,6,3,,,45.0,0.0,45.0,2024-01-01 10:07:55
e4e19fdb-4234-4624-afcd-b361d0c89e90,6,4,,,30.5,0.0,30.5,2024-01-01 10:07:57
fdfd7050-587f-4908-981a-473b0ffd24c0,3,2,,,9.0,0.0,9.0,2024-01-01 10:07:59
3242ae29-401b-46ec-b118-f315737e4198,9,1,,,30.0,0.0,30.0,2024-01-01 10:08:02
95ff45ab-afb9-42ba-96c7-dd43425ee09d,8,4,,,34.0,0.0,34.0,2024-01-01 10:08:03
6d00f1ba-c764-4d2b-be5b-a03e3d52a4e3,7,5,,,9.0,0.0,9.0,2024-01-01 10:08:04
df6ac308-9138-45a4-9499-68420d3c8af7,6,4,,,15.0,0.0,15.0,2024-01-01 10:08:05
e9c7d05e-b939-422d-bc48-3537b8bbfea8,6,5,,,8.0,0.0,8.0,2024-01-01 10:08:06
0536c1d2-21d0-4aa1-9b03-1906c4c0d421,6,2,,,46.0,0.0,46.0,2024-01-01 10:08:07
e2ab3a06-5c8e-4e0e-aa41-b239eb4fd169,10,3,,,27.0,0.0,27.0,2024-01-01 10:08:08
39bfdd09-543c-4d41-a5ab-05478e36cfa0,3,2,,,51.0,0.0,51.0,2024-01-01 10:08:12
24f6a1cf-47ad-4761-9b09-23d1df081d42,10,1,,,30.0,0.0,30.0,2024-01-01 10:08:13
